Sample	Inst	Status	PDF ATP	LIMS ATP	PDF TSB	LIMS TSB	PDF FTM	LIMS FTM	Max CV%	Audit Result	Audit Notes	EagleTrax URL
ETX-260827-0640	2011	Data Review	95167	95167	645	645	773	773	10.7%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/b%24qy5VlNfgZ6qTSLl5tWvA__
ETX-260830-0040	2222	Data Review	92047	92047	2432	2432	8526	8526	3.8%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/AZfBY7MUc4mMGrikVnZP2w__
ETX-260830-0041	2222	Data Review	92047	92047	2363	2363	6878	6878	4.9%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/Esop%249W22QfPbl4JPwLhsw__
ETX-260831-0105	2011	Data Review	95167	95167	299	299	309	309	16.7%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/WL2UkIombx%247Lz8Q7Xyoqg__
ETX-260831-0108	2011	Data Review	95167	95167	3601	3601	4577	4577	2.8%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/YZ69GddyyTnQJGQZp-AQLA__
ETX-260831-0109	2011	Data Review	95167	95167	2852	2852	8329	8329	2.0%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/Fm0OwPQCwog1tGcJ5BfK5A__
ETX-260831-0142	2011	Data Review	95167	95167	3290	3290	7693	7693	3.2%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/DJN3Sat-5yhDN3pLZJuNMw__
ETX-260831-0144	2011	Data Review	95167	95167	2737	2737	9391	9391	0.8%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/ZTIWzKLO%24avXCrCV4IHBgg__
ETX-260831-0204	2011	Data Review	95167	95167	256	256	355	355	12.9%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/q4SOvOAgxTFTEJZb44q4jg__
ETX-260831-0225	2011	Data Review	95167	95167	3176	3176	5788	5788	1.9%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/PlnB84gDqliNhPMxqSdeuQ__
ETX-260831-0310	2222	Data Review	92047	92047	595	595	655	655	8.8%	✅ PASS & MATCH	Mod: 3ml of sample + 5ml of Tween 80 + 300ml of media	https://etrax.eagleanalytical.com/SubmissionTest/Details/9DO4s8pa%24AeYcKbLWZrNxA__
ETX-260831-0413	2222	Data Review	92047	92047	3076	3076	10107	10107	3.7%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/I9qqmNLgNeRUHJC7D0XC3w__
ETX-260831-0564	2222	Data Review	92047	92047	3414	3414	7077	7769	2.6%	⚠️ VALUE MISMATCH	FTM PDF(7077) != LIMS(7769)	https://etrax.eagleanalytical.com/SubmissionTest/Details/k5c5kbvMy7O5RV0YIM1Q8g__
ETX-260831-0587	2222	Data Review	92047	92047	2644	2644	7471	7471	3.3%	✅ PASS & MATCH	Mod: Fluid D/TSB soak for 15 minutes each	https://etrax.eagleanalytical.com/SubmissionTest/Details/ENKzPr2BEQeSydRJfLKJ1A__
ETX-260831-0602	2222	Data Review	92047	92047	2692	2692	8589	8589	1.8%	✅ PASS & MATCH	Mod: Fluid D/TSB soak for 15 minutes each	https://etrax.eagleanalytical.com/SubmissionTest/Details/2UxqlVrNm3FORHvHY-YB1Q__
ETX-260831-0613	2222	Data Review	92047	92047	2899	2899	8309	8309	6.9%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/nX9jwMx-Ge0fvcHXiPxOVA__
ETX-260831-0619	2222	Data Review	92047	92047	2877	2877	6782	6782	3.0%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/4LEVEvbAj1cPhaLbmUIicQ__
ETX-260831-0664	2011	Data Review	95167	95167	238	238	313	313	14.7%	✅ PASS & MATCH	Mod: 5ml of sample + 300ml of media	https://etrax.eagleanalytical.com/SubmissionTest/Details/2fEIeFDxg9FEWn9-j0KK8g__
ETX-260831-0673	2222	Data Review	92047	92047	3281	3281	8229	8229	2.7%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/JsVbfBOq8LZLiTzBhbT3gA__
ETX-260831-0683	2222	Data Review	92047	92047	3514	3514	8232	8232	4.3%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/Ir%24f0-esN%24zr1XZbVee70w__
ETX-260831-0694	2222	Data Review	92047	92047	2806	2806	7940	7940	4.2%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/9ljGDXxi2nSMMdN4jOh6Zg__
ETX-260831-0837	2222	Data Review	92047	92047	3207	3207	6614	7929	2.1%	⚠️ VALUE MISMATCH	FTM PDF(6614) != LIMS(7929)	https://etrax.eagleanalytical.com/SubmissionTest/Details/RKmsgt9plAFoV1ymxB2spQ__
ETX-260901-0040	2011	Data Review	95167	95167	2670	2670	4540	4540	3.1%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/tgYUgOa4Ck62HvUoeB5IMA__
ETX-260901-0046	2011	Data Review	95167	95167	2648	2648	4849	4849	2.1%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/z8wNHoDi4VrECSV1c4LxGg__
ETX-260901-0063	2222	Data Review	92047	92047	218	218	490	490	5.3%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/1XU3WCGblmJqvpT6zJUa%24g__
ETX-260901-0229	2222	Data Review	92047	92047	258	258	505	505	14.2%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/XZWTYL1kxL6FO8AqWqL6UQ__
ETX-260901-0381	2222	Data Review	92047	92047	233	233	474	474	17.9%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/TcNH-y5rsg6jgYHiDEo9uQ__
ETX-260901-0385	2222	Data Review	92047	92047	1105	1105	2940	2940	21.3%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/T9ZsL4sa1pWdpdRi3aqYEA__
ETX-260901-0392	2011	Data Review	95167	95167	1674	1674	2985	2985	33.2%	❌ BLOCK (CV≥30%)	CV 33.2% >= 30% failsafe triggered	https://etrax.eagleanalytical.com/SubmissionTest/Details/68p4GD2PROWWvJXZ4t617A__
ETX-260901-0411	2222	Data Review	92047	92047	1201	1201	2664	2664	10.5%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/daaF5S-TqLf%24F3rfM3Hs-Q__
ETX-260901-0428	2222	Data Review	92047	92047	251	251	535	535	13.5%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/uWKBxT%24epLPvzGcTsrvfBA__
ETX-260901-0438	2222	Data Review	92047	92047	1429	1429	2215	2215	12.6%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/opJahlftXP8oqxtXJSqYyQ__
ETX-260901-0478	2222	Data Review	92047	92047	2969	2969	7410	7410	3.8%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/34Vabc-Y2O-hMPoKu2WRNQ__
ETX-260901-0557	2011	Data Review	95167	95167	937	946	2600	2600	1.4%	⚠️ VALUE MISMATCH	TSB PDF(937) != LIMS(946)	https://etrax.eagleanalytical.com/SubmissionTest/Details/e1aCbw2oO1RiujpinqtxJQ__
ETX-260901-0620	2011	Data Review	95167	95167	1425	1425	2726	2726	20.5%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/t4sDgb78BLVt3cqiHB1xvQ__
ETX-260901-0639	2222	Data Review	92047	92047	286	286	605	605	11.2%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/3HOraF7x25WD8FRfEjxztQ__
ETX-260901-0670	2011	Data Review	95167	95167	1270	1270	2634	2634	14.3%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/OJ0RduGQI%242M76EC0vfN8w__
ETX-260901-0692	2222	Data Review	92047	92047	228	229	556	556	28.4%	⚠️ VALUE MISMATCH	TSB PDF(228) != LIMS(229)	https://etrax.eagleanalytical.com/SubmissionTest/Details/Q74ubwPlvi7%24Bpbk5pRRRw__
ETX-260902-0813	2011	Completed	95167	95167	N/A	0	2273	2273	5.2%	✅ PASS & MATCH	100% Match	https://etrax.eagleanalytical.com/SubmissionTest/Details/SmVcHFlNgCsKnWDf%240Ch8w__
