Sample	Instrument	ATP Positive	Containers	Max TSB RLU	TSB Cutoff	Max FTM RLU	FTM Cutoff	Max CV%	Audit Status	LIMS Status	EagleTrax URL
ETX-260827-0640	2011	95167	TSB: 7, FTM: 7	645	1528.5	773	2338.5	10.7%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/b%24qy5VlNfgZ6qTSLl5tWvA__
ETX-260830-0040	2222	92047	TSB: 1, FTM: 1	2432	7152.0	8526	22996.5	3.8%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/AZfBY7MUc4mMGrikVnZP2w__
ETX-260830-0041	2222	92047	TSB: 1, FTM: 1	2363	7152.0	6878	22996.5	4.9%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/Esop%249W22QfPbl4JPwLhsw__
ETX-260831-0105	2011	95167	TSB: 7, FTM: 7	299	1528.5	309	2338.5	16.7%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/WL2UkIombx%247Lz8Q7Xyoqg__
ETX-260831-0108	2011	95167	TSB: 1, FTM: 1	3601	8356.5	4577	26986.5	2.8%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/YZ69GddyyTnQJGQZp-AQLA__
ETX-260831-0109	2011	95167	TSB: 1, FTM: 1	2852	8356.5	8329	26986.5	2.0%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/Fm0OwPQCwog1tGcJ5BfK5A__
ETX-260831-0142	2011	95167	TSB: 1, FTM: 1	3290	8356.5	7693	26986.5	3.2%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/DJN3Sat-5yhDN3pLZJuNMw__
ETX-260831-0144	2011	95167	TSB: 1, FTM: 1	2737	8356.5	9391	26986.5	0.8%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/ZTIWzKLO%24avXCrCV4IHBgg__
ETX-260831-0204	2011	95167	TSB: 7, FTM: 7	256	1528.5	355	2338.5	12.9%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/q4SOvOAgxTFTEJZb44q4jg__
ETX-260831-0225	2011	95167	TSB: 1, FTM: 1	3176	8356.5	5788	26986.5	1.9%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/PlnB84gDqliNhPMxqSdeuQ__
ETX-260831-0310	2222	92047	TSB: 19, FTM: 19	595	1776.0	655	1923.0	8.8%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/9DO4s8pa%24AeYcKbLWZrNxA__
ETX-260831-0413	2222	92047	TSB: 4, FTM: 4	3076	10287.0	10107	22600.5	3.7%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/I9qqmNLgNeRUHJC7D0XC3w__
ETX-260831-0564	2222	92047	TSB: 5, FTM: 5	3414	10287.0	7077	22600.5	2.6%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/k5c5kbvMy7O5RV0YIM1Q8g__
ETX-260831-0587	2222	92047	TSB: 1, FTM: 1	2644	8109.0	7471	N/A	3.3%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/ENKzPr2BEQeSydRJfLKJ1A__
ETX-260831-0602	2222	92047	TSB: 1, FTM: 1	2692	8109.0	8589	N/A	1.8%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/2UxqlVrNm3FORHvHY-YB1Q__
ETX-260831-0613	2222	92047	TSB: 1, FTM: 1	2899	7152.0	8309	22996.5	6.9%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/nX9jwMx-Ge0fvcHXiPxOVA__
ETX-260831-0619	2222	92047	TSB: 1, FTM: 1	2877	7152.0	6782	22996.5	3.0%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/4LEVEvbAj1cPhaLbmUIicQ__
ETX-260831-0664	2011	95167	TSB: 3, FTM: 3	238	1528.5	313	2338.5	14.7%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/2fEIeFDxg9FEWn9-j0KK8g__
ETX-260831-0673	2222	92047	TSB: 5, FTM: 5	3281	10287.0	8229	22600.5	2.7%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/JsVbfBOq8LZLiTzBhbT3gA__
ETX-260831-0683	2222	92047	TSB: 5, FTM: 5	3514	10287.0	8232	22600.5	4.3%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/Ir%24f0-esN%24zr1XZbVee70w__
ETX-260831-0694	2222	92047	TSB: 1, FTM: 1	2806	7152.0	7940	22996.5	4.2%	Negative	Data Review	https://etrax.eagleanalytical.com/SubmissionTest/Details/9ljGDXxi2nSMMdN4jOh6Zg__
