Packet	Sample	Current Status	Approved Time	Interval from Prev (s)	Approver	Data Review Time	Review-to-Approval
01SEP26.pdf	ETX-260824-0192	Completed	9/1/2026 2:30:23 PM	0	OAjayi	9/1/2026 10:42:58 AM	3h 47m 25s
01SEP26.pdf	ETX-260824-0094	Completed	9/1/2026 2:31:03 PM	40	OAjayi	9/1/2026 10:43:30 AM	3h 47m 33s
01SEP26.pdf	ETX-260824-0137	Completed	9/1/2026 2:31:49 PM	46	OAjayi	9/1/2026 10:44:02 AM	3h 47m 47s
01SEP26.pdf	ETX-260824-0312	Completed	9/1/2026 2:32:44 PM	55	OAjayi	9/1/2026 10:44:32 AM	3h 48m 12s
01SEP26.pdf	ETX-260824-0131	Completed	9/1/2026 2:33:19 PM	35	OAjayi	9/1/2026 10:45:08 AM	3h 48m 11s
01SEP26.pdf	ETX-260824-0147	Completed	9/1/2026 2:34:03 PM	44	OAjayi	9/1/2026 10:45:54 AM	3h 48m 9s
01SEP26.pdf	ETX-260824-0078	Completed	9/1/2026 2:35:04 PM	61	OAjayi	9/1/2026 10:46:25 AM	3h 48m 39s
01SEP26.pdf	ETX-260824-0136	Completed	9/1/2026 2:35:40 PM	36	OAjayi	9/1/2026 10:47:04 AM	3h 48m 36s
01SEP26.pdf	ETX-260824-0164	Completed	9/1/2026 2:36:28 PM	48	OAjayi	9/1/2026 10:47:36 AM	3h 48m 52s
01SEP26.pdf	ETX-260824-0074	Completed	9/1/2026 2:36:56 PM	28	OAjayi	9/1/2026 10:48:09 AM	3h 48m 47s
01SEP26.pdf	ETX-260824-0197	Completed	9/1/2026 2:38:20 PM	84	OAjayi	9/1/2026 10:48:39 AM	3h 49m 41s
01SEP26.pdf	ETX-260824-0361	Completed	9/1/2026 2:39:03 PM	43	OAjayi	9/1/2026 10:49:09 AM	3h 49m 54s
01SEP26.pdf	ETX-260824-0076	Completed	9/1/2026 2:39:43 PM	40	OAjayi	9/1/2026 10:49:44 AM	3h 49m 59s
01SEP26.pdf	ETX-260824-0202	Completed	9/1/2026 2:41:22 PM	99	OAjayi	9/1/2026 10:50:15 AM	3h 51m 7s
01SEP26.pdf	ETX-260824-0133	Completed	9/1/2026 2:41:45 PM	23	OAjayi	9/1/2026 10:53:49 AM	3h 47m 56s
01SEP26.pdf	ETX-260824-0064	Completed	9/1/2026 2:42:19 PM	34	OAjayi	9/1/2026 10:54:37 AM	3h 47m 42s
01SEP26.pdf	ETX-260824-0194	Completed	9/1/2026 2:42:58 PM	39	OAjayi	9/1/2026 10:55:07 AM	3h 47m 51s
01SEP26.pdf	ETX-260824-0075	Completed	9/1/2026 2:43:36 PM	38	OAjayi	9/1/2026 10:55:36 AM	3h 48m 0s
01SEP26.pdf	ETX-260824-0216	Completed	9/1/2026 2:44:10 PM	34	OAjayi	9/1/2026 10:56:11 AM	3h 47m 59s
01SEP26.pdf	ETX-260824-0124	Completed	9/1/2026 2:45:15 PM	65	OAjayi	9/1/2026 10:56:44 AM	3h 48m 31s
01SEP26.pdf	ETX-260824-0187	Completed	9/1/2026 2:45:57 PM	42	OAjayi	9/1/2026 10:57:13 AM	3h 48m 44s
01SEP26.pdf	ETX-260824-0191	Completed	9/1/2026 2:46:47 PM	50	OAjayi	9/1/2026 10:57:42 AM	3h 49m 5s
01SEP26.pdf	ETX-260824-0105	Completed	9/1/2026 2:47:21 PM	34	OAjayi	9/1/2026 10:58:09 AM	3h 49m 12s
01SEP26.pdf	ETX-260824-0217	Completed	9/1/2026 2:49:58 PM	157	OAjayi	9/1/2026 11:37:42 AM	3h 12m 16s
01SEP26.pdf	ETX-260824-0210	Completed	9/1/2026 2:50:20 PM	22	OAjayi	9/1/2026 11:37:14 AM	3h 13m 6s
01SEP26.pdf	ETX-260824-0107	Completed	9/1/2026 2:50:50 PM	30	OAjayi	9/1/2026 11:36:45 AM	3h 14m 5s
01SEP26.pdf	ETX-260824-0160	Completed	9/1/2026 2:51:22 PM	32	OAjayi	9/1/2026 11:36:16 AM	3h 15m 6s
01SEP26.pdf	ETX-260824-0154	Completed	9/1/2026 2:51:58 PM	36	OAjayi	9/1/2026 11:35:44 AM	3h 16m 14s
01SEP26.pdf	ETX-260824-0061	Completed	9/1/2026 2:52:33 PM	35	OAjayi	9/1/2026 11:35:13 AM	3h 17m 20s
01SEP26.pdf	ETX-260824-0119	Completed	9/1/2026 2:53:05 PM	32	OAjayi	9/1/2026 11:34:39 AM	3h 18m 26s
01SEP26.pdf	ETX-260824-0071	Completed	9/1/2026 2:53:30 PM	25	OAjayi	9/1/2026 11:34:09 AM	3h 19m 21s
01SEP26.pdf	ETX-260824-0207	Completed	9/1/2026 2:54:37 PM	67	OAjayi	9/1/2026 11:33:41 AM	3h 20m 56s
01SEP26.pdf	ETX-260824-0150	Completed	9/1/2026 2:55:21 PM	44	OAjayi	9/1/2026 11:33:10 AM	3h 22m 11s
01SEP26.pdf	ETX-260824-0110	Completed	9/1/2026 2:55:46 PM	25	OAjayi	9/1/2026 11:32:41 AM	3h 23m 5s
01SEP26.pdf	ETX-260824-0156	Completed	9/1/2026 2:56:55 PM	69	OAjayi	9/1/2026 10:58:39 AM	3h 58m 16s
01SEP26.pdf	ETX-260824-0169	Completed	9/1/2026 2:59:09 PM	134	OAjayi	9/1/2026 11:38:41 AM	3h 20m 28s
01SEP26.pdf	ETX-260824-0087	Completed	9/1/2026 3:04:55 PM	346	OAjayi	9/1/2026 11:43:26 AM	3h 21m 29s
01SEP26.pdf	ETX-260824-0073	Completed	9/1/2026 3:09:13 PM	258	OAjayi	9/1/2026 11:43:56 AM	3h 25m 17s
01SEP26.pdf	ETX-260824-0112	Completed	9/1/2026 3:09:31 PM	18	OAjayi	9/1/2026 11:44:26 AM	3h 25m 5s
01SEP26.pdf	ETX-260824-0121	Completed	9/1/2026 3:09:59 PM	28	OAjayi	9/1/2026 11:44:55 AM	3h 25m 4s
01SEP26.pdf	ETX-260824-0080	Completed	9/1/2026 3:10:30 PM	31	OAjayi	9/1/2026 11:45:31 AM	3h 24m 59s
01SEP26.pdf	ETX-260824-0181	Completed	9/1/2026 3:10:56 PM	26	OAjayi	9/1/2026 11:45:58 AM	3h 24m 58s
01SEP26.pdf	ETX-260824-0066	Completed	9/1/2026 3:13:19 PM	143	OAjayi	9/1/2026 11:46:25 AM	3h 26m 54s
01SEP26.pdf	ETX-260824-0100	Completed	9/1/2026 3:14:27 PM	68	OAjayi	9/1/2026 11:47:25 AM	3h 27m 2s
01SEP26.pdf	ETX-260824-0151	Completed	9/1/2026 3:15:01 PM	34	OAjayi	9/1/2026 11:47:52 AM	3h 27m 9s
01SEP26.pdf	ETX-260824-0180	Completed	9/1/2026 3:15:20 PM	19	OAjayi	9/1/2026 11:48:22 AM	3h 26m 58s
01SEP26.pdf	ETX-260821-0052	Completed	9/1/2026 3:19:57 PM	277	OAjayi	9/1/2026 11:54:36 AM	3h 25m 21s
01SEP26.pdf	ETX-260821-0054	Completed	9/1/2026 3:20:18 PM	21	OAjayi	9/1/2026 11:55:05 AM	3h 25m 13s
01SEP26.pdf	ETX-260821-0051	Completed	9/1/2026 3:20:43 PM	25	OAjayi	9/1/2026 11:55:34 AM	3h 25m 9s
01SEP26.pdf	ETX-260821-0060	Completed	9/1/2026 3:21:07 PM	24	OAjayi	9/1/2026 11:56:04 AM	3h 25m 3s
01SEP26.pdf	ETX-260821-0068	Completed	9/1/2026 3:21:28 PM	21	OAjayi	9/1/2026 11:56:40 AM	3h 24m 48s
